malware_name,strings,conditions,hex_patterns,rule_length,file_size,contains_exec,family,class,label
DebuggerCheck__PEB,['IsDebugged'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerCheck__GlobalFlags,['NtGlobalFlags'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerCheck__QueryInfo,['QueryInformationProcess'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerCheck__RemoteAPI,['CheckRemoteDebuggerPresent'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerHiding__Thread,['SetInformationThread'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerHiding__Active,['DebugActiveProcess'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerTiming__PerformanceCounter,['QueryPerformanceCounter'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerTiming__Ticks,['GetTickCount'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerOutput__String,['OutputDebugString'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerException__UnhandledFilter,['SetUnhandledExceptionFilter'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerException__ConsoleCtrl,['GenerateConsoleCtrlEvent'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerException__SetConsoleCtrl,['SetConsoleCtrlHandler'],any of them,[],1032,[],0,antidebug_antivm,502,0
ThreadControl__Context,['SetThreadContext'],any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerCheck__DrWatson,['__invoke__watson'],any of them,[],1032,[],0,antidebug_antivm,502,0
SEH__v3,"['____except__handler3', '____local__unwind3']",any of them,[],1032,[],0,antidebug_antivm,502,0
SEH__v4,"['____except__handler4', '____local__unwind4', '__XcptFilter']",any of them,[],1032,[],0,antidebug_antivm,502,0
SEH__vba,['vbaExceptHandler'],any of them,[],1032,[],0,antidebug_antivm,502,0
SEH__vectored,"['AddVectoredExceptionHandler', 'RemoveVectoredExceptionHandler']",any of them,[],1032,[],0,antidebug_antivm,502,0
DebuggerPattern__RDTSC,[],any of them,['0F 31'],1032,[],0,antidebug_antivm,502,0
DebuggerPattern__CPUID,[],any of them,['0F A2'],1032,[],0,antidebug_antivm,502,0
DebuggerPattern__SEH_Saves,[],any of them,['64 ff 35 00 00 00 00'],1032,[],0,antidebug_antivm,502,0
DebuggerPattern__SEH_Inits,[],any of them,['64 89 25 00 00 00 00'],1032,[],0,antidebug_antivm,502,0
SEH_Save,[],WindowsPE and $a,[' 64 ff 35 00 00 00 00 '],1032,[],0,antidebug_antivm,502,0
SEH_Init,[],WindowsPE and ($a or $b),"[' 64 A3 00 00 00 00 ', ' 64 89 25 00 00 00 00 ']",1032,[],0,antidebug_antivm,502,0
